run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230911-15:42:22-6394,runattr,,,configname,General,,
General-0-20230911-15:42:22-6394,runattr,,,datetime,20230911-15:42:22,,
General-0-20230911-15:42:22-6394,runattr,,,datetimef,20230911-154222,,
General-0-20230911-15:42:22-6394,runattr,,,experiment,General,,
General-0-20230911-15:42:22-6394,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20230911-15:42:22-6394,runattr,,,iterationvars,,,
General-0-20230911-15:42:22-6394,runattr,,,iterationvarsd,,,
General-0-20230911-15:42:22-6394,runattr,,,iterationvarsf,,,
General-0-20230911-15:42:22-6394,runattr,,,measurement,,,
General-0-20230911-15:42:22-6394,runattr,,,network,TSN_multipath,,
General-0-20230911-15:42:22-6394,runattr,,,processid,6394,,
General-0-20230911-15:42:22-6394,runattr,,,repetition,0,,
General-0-20230911-15:42:22-6394,runattr,,,replication,#0,,
General-0-20230911-15:42:22-6394,runattr,,,resultdir,results,,
General-0-20230911-15:42:22-6394,runattr,,,runnumber,0,,
General-0-20230911-15:42:22-6394,runattr,,,seedset,0,,
General-0-20230911-15:42:22-6394,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20230911-15:42:22-6394,config,,,network,TSN_multipath,,
General-0-20230911-15:42:22-6394,config,,,sim-time-limit,10ms,,
General-0-20230911-15:42:22-6394,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20230911-15:42:22-6394,config,,,*.*.hasStreamRedundancy,true,,
General-0-20230911-15:42:22-6394,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20230911-15:42:22-6394,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20230911-15:42:22-6394,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20230911-15:42:22-6394,config,,,*.host0.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch0.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch0.eth[1].bitrate,180Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch0.eth[2].bitrate,150Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch0.eth[3].bitrate,190Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch0.eth[4].bitrate,130Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch0.eth[5].bitrate,140Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch0.eth[6].bitrate,120Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch0.eth[7].bitrate,220Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch0.eth[8].bitrate,210Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.host1.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch1.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch1.eth[1].bitrate,150Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch1.eth[2].bitrate,180Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch1.eth[3].bitrate,190Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch1.eth[4].bitrate,190Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch1.eth[5].bitrate,200Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch1.eth[6].bitrate,150Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch1.eth[7].bitrate,210Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch1.eth[8].bitrate,150Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch1.eth[9].bitrate,220Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch1.eth[10].bitrate,140Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch1.eth[11].bitrate,230Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch1.eth[12].bitrate,130Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch1.eth[13].bitrate,150Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.host2.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch2.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch2.eth[1].bitrate,130Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch2.eth[2].bitrate,210Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch2.eth[3].bitrate,170Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch2.eth[4].bitrate,230Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch2.eth[5].bitrate,170Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch2.eth[6].bitrate,220Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch2.eth[7].bitrate,210Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch2.eth[8].bitrate,150Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch2.eth[9].bitrate,210Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch2.eth[10].bitrate,120Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch2.eth[11].bitrate,190Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.host3.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch3.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch3.eth[1].bitrate,150Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch3.eth[2].bitrate,170Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch3.eth[3].bitrate,140Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch3.eth[4].bitrate,150Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch3.eth[5].bitrate,150Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch3.eth[6].bitrate,210Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch3.eth[7].bitrate,210Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch3.eth[8].bitrate,190Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch3.eth[9].bitrate,170Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch3.eth[10].bitrate,140Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch3.eth[11].bitrate,230Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch3.eth[12].bitrate,160Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch3.eth[13].bitrate,230Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.host4.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch4.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch4.eth[1].bitrate,180Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch4.eth[2].bitrate,230Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch4.eth[3].bitrate,210Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch4.eth[4].bitrate,220Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch4.eth[5].bitrate,230Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch4.eth[6].bitrate,230Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch4.eth[7].bitrate,200Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch4.eth[8].bitrate,140Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.host5.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch5.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch5.eth[1].bitrate,190Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch5.eth[2].bitrate,210Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch5.eth[3].bitrate,140Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch5.eth[4].bitrate,210Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch5.eth[5].bitrate,230Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch5.eth[6].bitrate,170Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch5.eth[7].bitrate,200Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch5.eth[8].bitrate,170Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch5.eth[9].bitrate,150Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch5.eth[10].bitrate,180Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch5.eth[11].bitrate,150Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.host6.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch6.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch6.eth[1].bitrate,180Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch6.eth[2].bitrate,190Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch6.eth[3].bitrate,170Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch6.eth[4].bitrate,190Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch6.eth[5].bitrate,170Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch6.eth[6].bitrate,230Mbps,,
General-0-20230911-15:42:22-6394,config,,,*.switch6.eth[7].bitrate,120Mbps,,
