run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230911-15:42:13-6192,runattr,,,configname,General,,
General-0-20230911-15:42:13-6192,runattr,,,datetime,20230911-15:42:13,,
General-0-20230911-15:42:13-6192,runattr,,,datetimef,20230911-154213,,
General-0-20230911-15:42:13-6192,runattr,,,experiment,General,,
General-0-20230911-15:42:13-6192,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20230911-15:42:13-6192,runattr,,,iterationvars,,,
General-0-20230911-15:42:13-6192,runattr,,,iterationvarsd,,,
General-0-20230911-15:42:13-6192,runattr,,,iterationvarsf,,,
General-0-20230911-15:42:13-6192,runattr,,,measurement,,,
General-0-20230911-15:42:13-6192,runattr,,,network,TSN_multipath,,
General-0-20230911-15:42:13-6192,runattr,,,processid,6192,,
General-0-20230911-15:42:13-6192,runattr,,,repetition,0,,
General-0-20230911-15:42:13-6192,runattr,,,replication,#0,,
General-0-20230911-15:42:13-6192,runattr,,,resultdir,results,,
General-0-20230911-15:42:13-6192,runattr,,,runnumber,0,,
General-0-20230911-15:42:13-6192,runattr,,,seedset,0,,
General-0-20230911-15:42:13-6192,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20230911-15:42:13-6192,config,,,network,TSN_multipath,,
General-0-20230911-15:42:13-6192,config,,,sim-time-limit,10ms,,
General-0-20230911-15:42:13-6192,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20230911-15:42:13-6192,config,,,*.*.hasStreamRedundancy,true,,
General-0-20230911-15:42:13-6192,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20230911-15:42:13-6192,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20230911-15:42:13-6192,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20230911-15:42:13-6192,config,,,*.host0.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch0.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch0.eth[1].bitrate,180Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch0.eth[2].bitrate,150Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch0.eth[3].bitrate,190Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch0.eth[4].bitrate,130Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch0.eth[5].bitrate,140Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch0.eth[6].bitrate,120Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch0.eth[7].bitrate,220Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch0.eth[8].bitrate,210Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.host1.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch1.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch1.eth[1].bitrate,150Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch1.eth[2].bitrate,180Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch1.eth[3].bitrate,190Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch1.eth[4].bitrate,190Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch1.eth[5].bitrate,200Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch1.eth[6].bitrate,150Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch1.eth[7].bitrate,210Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch1.eth[8].bitrate,150Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch1.eth[9].bitrate,220Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch1.eth[10].bitrate,140Mbps,,
General-0-20230911-15:42:13-6192,config,,,*.switch1.eth[11].bitrate,230Mbps,,
