run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230907-10:23:43-12534,runattr,,,configname,General,,
General-0-20230907-10:23:43-12534,runattr,,,datetime,20230907-10:23:43,,
General-0-20230907-10:23:43-12534,runattr,,,datetimef,20230907-102343,,
General-0-20230907-10:23:43-12534,runattr,,,experiment,General,,
General-0-20230907-10:23:43-12534,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20230907-10:23:43-12534,runattr,,,iterationvars,,,
General-0-20230907-10:23:43-12534,runattr,,,iterationvarsd,,,
General-0-20230907-10:23:43-12534,runattr,,,iterationvarsf,,,
General-0-20230907-10:23:43-12534,runattr,,,measurement,,,
General-0-20230907-10:23:43-12534,runattr,,,network,TSN_multipath,,
General-0-20230907-10:23:43-12534,runattr,,,processid,12534,,
General-0-20230907-10:23:43-12534,runattr,,,repetition,0,,
General-0-20230907-10:23:43-12534,runattr,,,replication,#0,,
General-0-20230907-10:23:43-12534,runattr,,,resultdir,results,,
General-0-20230907-10:23:43-12534,runattr,,,runnumber,0,,
General-0-20230907-10:23:43-12534,runattr,,,seedset,0,,
General-0-20230907-10:23:43-12534,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20230907-10:23:43-12534,config,,,network,TSN_multipath,,
General-0-20230907-10:23:43-12534,config,,,sim-time-limit,10ms,,
General-0-20230907-10:23:43-12534,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20230907-10:23:43-12534,config,,,*.*.hasStreamRedundancy,true,,
General-0-20230907-10:23:43-12534,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20230907-10:23:43-12534,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20230907-10:23:43-12534,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20230907-10:23:43-12534,config,,,*.host0.eth[0].bitrate,100Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.switch0.eth[0].bitrate,100Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.switch0.eth[1].bitrate,160Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.switch0.eth[2].bitrate,130Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.switch0.eth[3].bitrate,140Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.switch0.eth[4].bitrate,150Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.switch0.eth[5].bitrate,130Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.switch0.eth[6].bitrate,150Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.switch0.eth[7].bitrate,240Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.switch0.eth[8].bitrate,180Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.switch0.eth[9].bitrate,150Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.switch0.eth[10].bitrate,210Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.switch0.eth[11].bitrate,120Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.switch0.eth[12].bitrate,200Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.switch0.eth[13].bitrate,210Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.host1.eth[0].bitrate,100Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.switch1.eth[0].bitrate,100Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.switch1.eth[1].bitrate,160Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.switch1.eth[2].bitrate,130Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.switch1.eth[3].bitrate,180Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.switch1.eth[4].bitrate,190Mbps,,
General-0-20230907-10:23:43-12534,config,,,*.switch1.eth[5].bitrate,130Mbps,,
