run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230913-20:53:39-15609,runattr,,,configname,General,,
General-0-20230913-20:53:39-15609,runattr,,,datetime,20230913-20:53:39,,
General-0-20230913-20:53:39-15609,runattr,,,datetimef,20230913-205339,,
General-0-20230913-20:53:39-15609,runattr,,,experiment,General,,
General-0-20230913-20:53:39-15609,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20230913-20:53:39-15609,runattr,,,iterationvars,,,
General-0-20230913-20:53:39-15609,runattr,,,iterationvarsd,,,
General-0-20230913-20:53:39-15609,runattr,,,iterationvarsf,,,
General-0-20230913-20:53:39-15609,runattr,,,measurement,,,
General-0-20230913-20:53:39-15609,runattr,,,network,TSN_multipath,,
General-0-20230913-20:53:39-15609,runattr,,,processid,15609,,
General-0-20230913-20:53:39-15609,runattr,,,repetition,0,,
General-0-20230913-20:53:39-15609,runattr,,,replication,#0,,
General-0-20230913-20:53:39-15609,runattr,,,resultdir,results,,
General-0-20230913-20:53:39-15609,runattr,,,runnumber,0,,
General-0-20230913-20:53:39-15609,runattr,,,seedset,0,,
General-0-20230913-20:53:39-15609,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20230913-20:53:39-15609,config,,,network,TSN_multipath,,
General-0-20230913-20:53:39-15609,config,,,sim-time-limit,10ms,,
General-0-20230913-20:53:39-15609,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20230913-20:53:39-15609,config,,,*.*.hasStreamRedundancy,true,,
General-0-20230913-20:53:39-15609,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20230913-20:53:39-15609,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20230913-20:53:39-15609,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20230913-20:53:39-15609,config,,,*.host0.eth[0].bitrate,100Mbps,,
General-0-20230913-20:53:39-15609,config,,,*.switch0.eth[0].bitrate,100Mbps,,
General-0-20230913-20:53:39-15609,config,,,*.switch0.eth[1].bitrate,200Mbps,,
General-0-20230913-20:53:39-15609,config,,,*.switch0.eth[2].bitrate,230Mbps,,
General-0-20230913-20:53:39-15609,config,,,*.switch0.eth[3].bitrate,140Mbps,,
General-0-20230913-20:53:39-15609,config,,,*.switch0.eth[4].bitrate,200Mbps,,
General-0-20230913-20:53:39-15609,config,,,*.switch0.eth[5].bitrate,140Mbps,,
