run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230913-00:12:29-6764,runattr,,,configname,General,,
General-0-20230913-00:12:29-6764,runattr,,,datetime,20230913-00:12:29,,
General-0-20230913-00:12:29-6764,runattr,,,datetimef,20230913-001229,,
General-0-20230913-00:12:29-6764,runattr,,,experiment,General,,
General-0-20230913-00:12:29-6764,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20230913-00:12:29-6764,runattr,,,iterationvars,,,
General-0-20230913-00:12:29-6764,runattr,,,iterationvarsd,,,
General-0-20230913-00:12:29-6764,runattr,,,iterationvarsf,,,
General-0-20230913-00:12:29-6764,runattr,,,measurement,,,
General-0-20230913-00:12:29-6764,runattr,,,network,TSN_multipath,,
General-0-20230913-00:12:29-6764,runattr,,,processid,6764,,
General-0-20230913-00:12:29-6764,runattr,,,repetition,0,,
General-0-20230913-00:12:29-6764,runattr,,,replication,#0,,
General-0-20230913-00:12:29-6764,runattr,,,resultdir,results,,
General-0-20230913-00:12:29-6764,runattr,,,runnumber,0,,
General-0-20230913-00:12:29-6764,runattr,,,seedset,0,,
General-0-20230913-00:12:29-6764,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20230913-00:12:29-6764,config,,,network,TSN_multipath,,
General-0-20230913-00:12:29-6764,config,,,sim-time-limit,10ms,,
General-0-20230913-00:12:29-6764,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20230913-00:12:29-6764,config,,,*.*.hasStreamRedundancy,true,,
General-0-20230913-00:12:29-6764,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20230913-00:12:29-6764,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20230913-00:12:29-6764,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20230913-00:12:29-6764,config,,,*.host0.eth[0].bitrate,100Mbps,,
General-0-20230913-00:12:29-6764,config,,,*.switch0.eth[0].bitrate,100Mbps,,
General-0-20230913-00:12:29-6764,config,,,*.switch0.eth[1].bitrate,220Mbps,,
General-0-20230913-00:12:29-6764,config,,,*.switch0.eth[2].bitrate,190Mbps,,
General-0-20230913-00:12:29-6764,config,,,*.switch0.eth[3].bitrate,180Mbps,,
General-0-20230913-00:12:29-6764,config,,,*.switch0.eth[4].bitrate,210Mbps,,
General-0-20230913-00:12:29-6764,config,,,*.switch0.eth[5].bitrate,130Mbps,,
