run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20231214-19:13:06-300587,runattr,,,configname,General,,
General-0-20231214-19:13:06-300587,runattr,,,datetime,20231214-19:13:06,,
General-0-20231214-19:13:06-300587,runattr,,,datetimef,20231214-191306,,
General-0-20231214-19:13:06-300587,runattr,,,experiment,General,,
General-0-20231214-19:13:06-300587,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20231214-19:13:06-300587,runattr,,,iterationvars,,,
General-0-20231214-19:13:06-300587,runattr,,,iterationvarsd,,,
General-0-20231214-19:13:06-300587,runattr,,,iterationvarsf,,,
General-0-20231214-19:13:06-300587,runattr,,,measurement,,,
General-0-20231214-19:13:06-300587,runattr,,,network,TSN_multipath,,
General-0-20231214-19:13:06-300587,runattr,,,processid,300587,,
General-0-20231214-19:13:06-300587,runattr,,,repetition,0,,
General-0-20231214-19:13:06-300587,runattr,,,replication,#0,,
General-0-20231214-19:13:06-300587,runattr,,,resultdir,results,,
General-0-20231214-19:13:06-300587,runattr,,,runnumber,0,,
General-0-20231214-19:13:06-300587,runattr,,,seedset,0,,
General-0-20231214-19:13:06-300587,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20231214-19:13:06-300587,config,,,network,TSN_multipath,,
General-0-20231214-19:13:06-300587,config,,,sim-time-limit,10ms,,
General-0-20231214-19:13:06-300587,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20231214-19:13:06-300587,config,,,*.*.hasStreamRedundancy,true,,
General-0-20231214-19:13:06-300587,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20231214-19:13:06-300587,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20231214-19:13:06-300587,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20231214-19:13:06-300587,config,,,*.host0.eth[0].bitrate,1000Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.switch0.eth[0].bitrate,1000Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.switch0.eth[1].bitrate,2100Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.switch0.eth[2].bitrate,2400Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.switch0.eth[3].bitrate,1200Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.host1.eth[0].bitrate,1000Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.switch1.eth[0].bitrate,1000Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.switch1.eth[1].bitrate,2100Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.switch1.eth[2].bitrate,1900Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.switch1.eth[3].bitrate,1600Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.host2.eth[0].bitrate,1000Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.switch2.eth[0].bitrate,1000Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.switch2.eth[1].bitrate,2100Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.switch2.eth[2].bitrate,1900Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.switch2.eth[3].bitrate,1800Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.host3.eth[0].bitrate,1000Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.switch3.eth[0].bitrate,1000Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.switch3.eth[1].bitrate,2400Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.switch3.eth[2].bitrate,1600Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.switch3.eth[3].bitrate,1400Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.host4.eth[0].bitrate,1000Mbps,,
General-0-20231214-19:13:06-300587,config,,,*.switch4.eth[0].bitrate,1000Mbps,,
