run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20240312-05:35:02-247121,runattr,,,configname,General,,
General-0-20240312-05:35:02-247121,runattr,,,datetime,20240312-05:35:02,,
General-0-20240312-05:35:02-247121,runattr,,,datetimef,20240312-053502,,
General-0-20240312-05:35:02-247121,runattr,,,experiment,General,,
General-0-20240312-05:35:02-247121,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20240312-05:35:02-247121,runattr,,,iterationvars,,,
General-0-20240312-05:35:02-247121,runattr,,,iterationvarsd,,,
General-0-20240312-05:35:02-247121,runattr,,,iterationvarsf,,,
General-0-20240312-05:35:02-247121,runattr,,,measurement,,,
General-0-20240312-05:35:02-247121,runattr,,,network,TSN_multipath,,
General-0-20240312-05:35:02-247121,runattr,,,processid,247121,,
General-0-20240312-05:35:02-247121,runattr,,,repetition,0,,
General-0-20240312-05:35:02-247121,runattr,,,replication,#0,,
General-0-20240312-05:35:02-247121,runattr,,,resultdir,results,,
General-0-20240312-05:35:02-247121,runattr,,,runnumber,0,,
General-0-20240312-05:35:02-247121,runattr,,,seedset,0,,
General-0-20240312-05:35:02-247121,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20240312-05:35:02-247121,config,,,network,TSN_multipath,,
General-0-20240312-05:35:02-247121,config,,,sim-time-limit,100ms,,
General-0-20240312-05:35:02-247121,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20240312-05:35:02-247121,config,,,*.*.hasStreamRedundancy,true,,
General-0-20240312-05:35:02-247121,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20240312-05:35:02-247121,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20240312-05:35:02-247121,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20240312-05:35:02-247121,config,,,*.host0.eth[0].bitrate,1000Mbps,,
General-0-20240312-05:35:02-247121,config,,,*.switch0.eth[0].bitrate,1000Mbps,,
General-0-20240312-05:35:02-247121,config,,,*.switch0.eth[1].bitrate,1400Mbps,,
General-0-20240312-05:35:02-247121,config,,,*.switch0.eth[2].bitrate,2000Mbps,,
General-0-20240312-05:35:02-247121,config,,,*.switch0.eth[3].bitrate,2400Mbps,,
General-0-20240312-05:35:02-247121,config,,,*.switch0.eth[4].bitrate,1500Mbps,,
General-0-20240312-05:35:02-247121,config,,,*.switch0.eth[5].bitrate,1900Mbps,,
General-0-20240312-05:35:02-247121,config,,,*.switch0.eth[6].bitrate,1300Mbps,,
