run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20231231-12:44:24-303213,runattr,,,configname,General,,
General-0-20231231-12:44:24-303213,runattr,,,datetime,20231231-12:44:24,,
General-0-20231231-12:44:24-303213,runattr,,,datetimef,20231231-124424,,
General-0-20231231-12:44:24-303213,runattr,,,experiment,General,,
General-0-20231231-12:44:24-303213,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20231231-12:44:24-303213,runattr,,,iterationvars,,,
General-0-20231231-12:44:24-303213,runattr,,,iterationvarsd,,,
General-0-20231231-12:44:24-303213,runattr,,,iterationvarsf,,,
General-0-20231231-12:44:24-303213,runattr,,,measurement,,,
General-0-20231231-12:44:24-303213,runattr,,,network,TSN_multipath,,
General-0-20231231-12:44:24-303213,runattr,,,processid,303213,,
General-0-20231231-12:44:24-303213,runattr,,,repetition,0,,
General-0-20231231-12:44:24-303213,runattr,,,replication,#0,,
General-0-20231231-12:44:24-303213,runattr,,,resultdir,results,,
General-0-20231231-12:44:24-303213,runattr,,,runnumber,0,,
General-0-20231231-12:44:24-303213,runattr,,,seedset,0,,
General-0-20231231-12:44:24-303213,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20231231-12:44:24-303213,config,,,network,TSN_multipath,,
General-0-20231231-12:44:24-303213,config,,,sim-time-limit,100ms,,
General-0-20231231-12:44:24-303213,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20231231-12:44:24-303213,config,,,*.*.hasStreamRedundancy,true,,
General-0-20231231-12:44:24-303213,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20231231-12:44:24-303213,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20231231-12:44:24-303213,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20231231-12:44:24-303213,config,,,*.host0.eth[0].bitrate,1000Mbps,,
General-0-20231231-12:44:24-303213,config,,,*.switch0.eth[0].bitrate,1000Mbps,,
General-0-20231231-12:44:24-303213,config,,,*.switch0.eth[1].bitrate,2100Mbps,,
General-0-20231231-12:44:24-303213,config,,,*.switch0.eth[2].bitrate,1600Mbps,,
General-0-20231231-12:44:24-303213,config,,,*.switch0.eth[3].bitrate,2300Mbps,,
General-0-20231231-12:44:24-303213,config,,,*.switch0.eth[4].bitrate,2100Mbps,,
General-0-20231231-12:44:24-303213,config,,,*.host1.eth[0].bitrate,1000Mbps,,
General-0-20231231-12:44:24-303213,config,,,*.switch1.eth[0].bitrate,1000Mbps,,
General-0-20231231-12:44:24-303213,config,,,*.switch1.eth[1].bitrate,2100Mbps,,
General-0-20231231-12:44:24-303213,config,,,*.switch1.eth[2].bitrate,1800Mbps,,
