run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230905-22:53:52-27436,runattr,,,configname,General,,
General-0-20230905-22:53:52-27436,runattr,,,datetime,20230905-22:53:52,,
General-0-20230905-22:53:52-27436,runattr,,,datetimef,20230905-225352,,
General-0-20230905-22:53:52-27436,runattr,,,experiment,General,,
General-0-20230905-22:53:52-27436,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20230905-22:53:52-27436,runattr,,,iterationvars,,,
General-0-20230905-22:53:52-27436,runattr,,,iterationvarsd,,,
General-0-20230905-22:53:52-27436,runattr,,,iterationvarsf,,,
General-0-20230905-22:53:52-27436,runattr,,,measurement,,,
General-0-20230905-22:53:52-27436,runattr,,,network,TSN_multipath,,
General-0-20230905-22:53:52-27436,runattr,,,processid,27436,,
General-0-20230905-22:53:52-27436,runattr,,,repetition,0,,
General-0-20230905-22:53:52-27436,runattr,,,replication,#0,,
General-0-20230905-22:53:52-27436,runattr,,,resultdir,results,,
General-0-20230905-22:53:52-27436,runattr,,,runnumber,0,,
General-0-20230905-22:53:52-27436,runattr,,,seedset,0,,
General-0-20230905-22:53:52-27436,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20230905-22:53:52-27436,config,,,network,TSN_multipath,,
General-0-20230905-22:53:52-27436,config,,,sim-time-limit,10ms,,
General-0-20230905-22:53:52-27436,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20230905-22:53:52-27436,config,,,*.*.hasStreamRedundancy,true,,
General-0-20230905-22:53:52-27436,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20230905-22:53:52-27436,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20230905-22:53:52-27436,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20230905-22:53:52-27436,config,,,*.host0.eth[0].bitrate,100Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[0].bitrate,100Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[1].bitrate,190Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[2].bitrate,220Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[3].bitrate,240Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[4].bitrate,200Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[5].bitrate,190Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[6].bitrate,230Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[7].bitrate,210Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[8].bitrate,150Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[9].bitrate,230Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[10].bitrate,240Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[11].bitrate,210Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[12].bitrate,210Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[13].bitrate,120Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[14].bitrate,200Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[15].bitrate,220Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[16].bitrate,240Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[17].bitrate,160Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[18].bitrate,120Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[19].bitrate,210Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[20].bitrate,130Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[21].bitrate,130Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[22].bitrate,220Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[23].bitrate,200Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[24].bitrate,190Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[25].bitrate,170Mbps,,
General-0-20230905-22:53:52-27436,config,,,*.switch0.eth[26].bitrate,170Mbps,,
