run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20240103-03:11:49-298369,runattr,,,configname,General,,
General-0-20240103-03:11:49-298369,runattr,,,datetime,20240103-03:11:49,,
General-0-20240103-03:11:49-298369,runattr,,,datetimef,20240103-031149,,
General-0-20240103-03:11:49-298369,runattr,,,experiment,General,,
General-0-20240103-03:11:49-298369,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20240103-03:11:49-298369,runattr,,,iterationvars,,,
General-0-20240103-03:11:49-298369,runattr,,,iterationvarsd,,,
General-0-20240103-03:11:49-298369,runattr,,,iterationvarsf,,,
General-0-20240103-03:11:49-298369,runattr,,,measurement,,,
General-0-20240103-03:11:49-298369,runattr,,,network,TSN_multipath,,
General-0-20240103-03:11:49-298369,runattr,,,processid,298369,,
General-0-20240103-03:11:49-298369,runattr,,,repetition,0,,
General-0-20240103-03:11:49-298369,runattr,,,replication,#0,,
General-0-20240103-03:11:49-298369,runattr,,,resultdir,results,,
General-0-20240103-03:11:49-298369,runattr,,,runnumber,0,,
General-0-20240103-03:11:49-298369,runattr,,,seedset,0,,
General-0-20240103-03:11:49-298369,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20240103-03:11:49-298369,config,,,network,TSN_multipath,,
General-0-20240103-03:11:49-298369,config,,,sim-time-limit,100ms,,
General-0-20240103-03:11:49-298369,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20240103-03:11:49-298369,config,,,*.*.hasStreamRedundancy,true,,
General-0-20240103-03:11:49-298369,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20240103-03:11:49-298369,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20240103-03:11:49-298369,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20240103-03:11:49-298369,config,,,*.host0.eth[0].bitrate,1000Mbps,,
General-0-20240103-03:11:49-298369,config,,,*.switch0.eth[0].bitrate,1000Mbps,,
General-0-20240103-03:11:49-298369,config,,,*.switch0.eth[1].bitrate,1800Mbps,,
General-0-20240103-03:11:49-298369,config,,,*.switch0.eth[2].bitrate,2200Mbps,,
General-0-20240103-03:11:49-298369,config,,,*.switch0.eth[3].bitrate,1700Mbps,,
General-0-20240103-03:11:49-298369,config,,,*.switch0.eth[4].bitrate,2400Mbps,,
General-0-20240103-03:11:49-298369,config,,,*.switch0.eth[5].bitrate,1700Mbps,,
General-0-20240103-03:11:49-298369,config,,,*.switch0.eth[6].bitrate,2100Mbps,,
General-0-20240103-03:11:49-298369,config,,,*.switch0.eth[7].bitrate,2100Mbps,,
