run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20240102-17:20:29-32191,runattr,,,configname,General,,
General-0-20240102-17:20:29-32191,runattr,,,datetime,20240102-17:20:29,,
General-0-20240102-17:20:29-32191,runattr,,,datetimef,20240102-172029,,
General-0-20240102-17:20:29-32191,runattr,,,experiment,General,,
General-0-20240102-17:20:29-32191,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20240102-17:20:29-32191,runattr,,,iterationvars,,,
General-0-20240102-17:20:29-32191,runattr,,,iterationvarsd,,,
General-0-20240102-17:20:29-32191,runattr,,,iterationvarsf,,,
General-0-20240102-17:20:29-32191,runattr,,,measurement,,,
General-0-20240102-17:20:29-32191,runattr,,,network,TSN_multipath,,
General-0-20240102-17:20:29-32191,runattr,,,processid,32191,,
General-0-20240102-17:20:29-32191,runattr,,,repetition,0,,
General-0-20240102-17:20:29-32191,runattr,,,replication,#0,,
General-0-20240102-17:20:29-32191,runattr,,,resultdir,results,,
General-0-20240102-17:20:29-32191,runattr,,,runnumber,0,,
General-0-20240102-17:20:29-32191,runattr,,,seedset,0,,
General-0-20240102-17:20:29-32191,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20240102-17:20:29-32191,config,,,network,TSN_multipath,,
General-0-20240102-17:20:29-32191,config,,,sim-time-limit,100ms,,
General-0-20240102-17:20:29-32191,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20240102-17:20:29-32191,config,,,*.*.hasStreamRedundancy,true,,
General-0-20240102-17:20:29-32191,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20240102-17:20:29-32191,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20240102-17:20:29-32191,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20240102-17:20:29-32191,config,,,*.host0.eth[0].bitrate,1000Mbps,,
General-0-20240102-17:20:29-32191,config,,,*.switch0.eth[0].bitrate,1000Mbps,,
General-0-20240102-17:20:29-32191,config,,,*.switch0.eth[1].bitrate,1900Mbps,,
General-0-20240102-17:20:29-32191,config,,,*.switch0.eth[2].bitrate,1500Mbps,,
General-0-20240102-17:20:29-32191,config,,,*.switch0.eth[3].bitrate,1300Mbps,,
General-0-20240102-17:20:29-32191,config,,,*.switch0.eth[4].bitrate,2000Mbps,,
General-0-20240102-17:20:29-32191,config,,,*.switch0.eth[5].bitrate,2100Mbps,,
General-0-20240102-17:20:29-32191,config,,,*.switch0.eth[6].bitrate,2400Mbps,,
General-0-20240102-17:20:29-32191,config,,,*.switch0.eth[7].bitrate,1700Mbps,,
General-0-20240102-17:20:29-32191,config,,,*.switch0.eth[8].bitrate,1200Mbps,,
General-0-20240102-17:20:29-32191,config,,,*.switch0.eth[9].bitrate,1600Mbps,,
General-0-20240102-17:20:29-32191,config,,,*.switch0.eth[10].bitrate,2200Mbps,,
General-0-20240102-17:20:29-32191,config,,,*.host1.eth[0].bitrate,1000Mbps,,
