run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230913-22:04:25-20513,runattr,,,configname,General,,
General-0-20230913-22:04:25-20513,runattr,,,datetime,20230913-22:04:25,,
General-0-20230913-22:04:25-20513,runattr,,,datetimef,20230913-220425,,
General-0-20230913-22:04:25-20513,runattr,,,experiment,General,,
General-0-20230913-22:04:25-20513,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20230913-22:04:25-20513,runattr,,,iterationvars,,,
General-0-20230913-22:04:25-20513,runattr,,,iterationvarsd,,,
General-0-20230913-22:04:25-20513,runattr,,,iterationvarsf,,,
General-0-20230913-22:04:25-20513,runattr,,,measurement,,,
General-0-20230913-22:04:25-20513,runattr,,,network,TSN_multipath,,
General-0-20230913-22:04:25-20513,runattr,,,processid,20513,,
General-0-20230913-22:04:25-20513,runattr,,,repetition,0,,
General-0-20230913-22:04:25-20513,runattr,,,replication,#0,,
General-0-20230913-22:04:25-20513,runattr,,,resultdir,results,,
General-0-20230913-22:04:25-20513,runattr,,,runnumber,0,,
General-0-20230913-22:04:25-20513,runattr,,,seedset,0,,
General-0-20230913-22:04:25-20513,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20230913-22:04:25-20513,config,,,network,TSN_multipath,,
General-0-20230913-22:04:25-20513,config,,,sim-time-limit,10ms,,
General-0-20230913-22:04:25-20513,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20230913-22:04:25-20513,config,,,*.*.hasStreamRedundancy,true,,
General-0-20230913-22:04:25-20513,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20230913-22:04:25-20513,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20230913-22:04:25-20513,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20230913-22:04:25-20513,config,,,*.host0.eth[0].bitrate,100Mbps,,
General-0-20230913-22:04:25-20513,config,,,*.switch0.eth[0].bitrate,100Mbps,,
General-0-20230913-22:04:25-20513,config,,,*.switch0.eth[1].bitrate,220Mbps,,
General-0-20230913-22:04:25-20513,config,,,*.switch0.eth[2].bitrate,120Mbps,,
General-0-20230913-22:04:25-20513,config,,,*.switch0.eth[3].bitrate,130Mbps,,
General-0-20230913-22:04:25-20513,config,,,*.switch0.eth[4].bitrate,240Mbps,,
General-0-20230913-22:04:25-20513,config,,,*.switch0.eth[5].bitrate,160Mbps,,
