run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20231231-12:15:20-201284,runattr,,,configname,General,,
General-0-20231231-12:15:20-201284,runattr,,,datetime,20231231-12:15:20,,
General-0-20231231-12:15:20-201284,runattr,,,datetimef,20231231-121520,,
General-0-20231231-12:15:20-201284,runattr,,,experiment,General,,
General-0-20231231-12:15:20-201284,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20231231-12:15:20-201284,runattr,,,iterationvars,,,
General-0-20231231-12:15:20-201284,runattr,,,iterationvarsd,,,
General-0-20231231-12:15:20-201284,runattr,,,iterationvarsf,,,
General-0-20231231-12:15:20-201284,runattr,,,measurement,,,
General-0-20231231-12:15:20-201284,runattr,,,network,TSN_multipath,,
General-0-20231231-12:15:20-201284,runattr,,,processid,201284,,
General-0-20231231-12:15:20-201284,runattr,,,repetition,0,,
General-0-20231231-12:15:20-201284,runattr,,,replication,#0,,
General-0-20231231-12:15:20-201284,runattr,,,resultdir,results,,
General-0-20231231-12:15:20-201284,runattr,,,runnumber,0,,
General-0-20231231-12:15:20-201284,runattr,,,seedset,0,,
General-0-20231231-12:15:20-201284,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20231231-12:15:20-201284,config,,,network,TSN_multipath,,
General-0-20231231-12:15:20-201284,config,,,sim-time-limit,100ms,,
General-0-20231231-12:15:20-201284,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20231231-12:15:20-201284,config,,,*.*.hasStreamRedundancy,true,,
General-0-20231231-12:15:20-201284,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20231231-12:15:20-201284,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20231231-12:15:20-201284,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20231231-12:15:20-201284,config,,,*.host0.eth[0].bitrate,1000Mbps,,
General-0-20231231-12:15:20-201284,config,,,*.switch0.eth[0].bitrate,1000Mbps,,
General-0-20231231-12:15:20-201284,config,,,*.switch0.eth[1].bitrate,1600Mbps,,
General-0-20231231-12:15:20-201284,config,,,*.switch0.eth[2].bitrate,2300Mbps,,
General-0-20231231-12:15:20-201284,config,,,*.switch0.eth[3].bitrate,1700Mbps,,
General-0-20231231-12:15:20-201284,config,,,*.switch0.eth[4].bitrate,1300Mbps,,
General-0-20231231-12:15:20-201284,config,,,*.host1.eth[0].bitrate,1000Mbps,,
General-0-20231231-12:15:20-201284,config,,,*.switch1.eth[0].bitrate,1000Mbps,,
General-0-20231231-12:15:20-201284,config,,,*.switch1.eth[1].bitrate,1700Mbps,,
General-0-20231231-12:15:20-201284,config,,,*.switch1.eth[2].bitrate,2400Mbps,,
General-0-20231231-12:15:20-201284,config,,,*.switch1.eth[3].bitrate,1500Mbps,,
General-0-20231231-12:15:20-201284,config,,,*.host2.eth[0].bitrate,1000Mbps,,
General-0-20231231-12:15:20-201284,config,,,*.switch2.eth[0].bitrate,1000Mbps,,
General-0-20231231-12:15:20-201284,config,,,*.switch2.eth[1].bitrate,1300Mbps,,
General-0-20231231-12:15:20-201284,config,,,*.switch2.eth[2].bitrate,1200Mbps,,
General-0-20231231-12:15:20-201284,config,,,*.switch2.eth[3].bitrate,1500Mbps,,
General-0-20231231-12:15:20-201284,config,,,*.switch2.eth[4].bitrate,1300Mbps,,
General-0-20231231-12:15:20-201284,config,,,*.host3.eth[0].bitrate,1000Mbps,,
General-0-20231231-12:15:20-201284,config,,,*.switch3.eth[0].bitrate,1000Mbps,,
General-0-20231231-12:15:20-201284,config,,,*.switch3.eth[1].bitrate,1600Mbps,,
